country_name,year,GHG_emissions,CH4_emissions,N2O_emissions,F_Gas_emissions,CO2_emissions,CH4_emissions.1,N2O_emissions.1,energy_emissions,industry_emissions,agriculture_emissions,waste_emissions,land_use_foresty_emissions,bunker_fuels_emissions,electricity_heat_emissions,construction_emissions,transports_emissions,other_fuels_emissions,other_emissions,subregion,region-wb,continent,iso-a3,iso-a2
Albania,2000,7.374058297,2.9217686510000003,1.278237793,0.006115853,3.2892752,2.9607686510000004,1.3092377929999999,3.295068815,0.10521185300000001,3.3822126000000003,0.591565029,0.19133920000000001,0.12,0.38,0.47,1.47,0.963708337,0.011360479,Southern Europe,Europe & Central Asia,Europe,ALB,AL
Andorra,2000,0.559060849,0.034039185,0.001069664,0.0,0.5044964,0.034039185,0.001069664,0.5239520000000001,0.0,0.0,0.035108849,-0.0194556,,,,,,,Southern Europe,Europe & Central Asia,Europe,AND,AD
Austria,2000,77.39536984,7.466774322000001,5.034988239,1.140311279,51.8949528,7.466774322000001,5.034988239,63.13109575,4.222392533,7.5340803,2.507801256,-11.858343199999998,1.72,19.6,10.85,18.55,13.91792448,0.21317127,Western Europe,Europe & Central Asia,Europe,AUT,AT
Belarus,2000,77.89604619,13.45756239,11.35521552,0.053604273,42.965500299999995,13.55056239,11.37521552,54.03520446,1.083778753,19.121842899999997,3.655220073,-9.951163699999999,0.0,34.3,3.22,6.46,8.593409003,1.461795461,Eastern Europe,Europe & Central Asia,Europe,BLR,BY
Belgium,2000,136.3495046,9.025232609,8.817926523999999,0.99493751,114.32605600000001,9.025232609,8.817926523999999,115.6900202,9.351754722,9.126096,2.181633754,-3.185352,21.61,31.2,29.43,24.49,30.10745621,0.47256396100000003,Western Europe,Europe & Central Asia,Europe,BEL,BE
Bulgaria,2000,57.25338346,10.14054968,3.6466663039999996,0.176967475,32.089977000000005,10.17154968,3.663666304,44.513194,1.9577419580000002,4.8766671,5.9057804,-11.151223,0.44,26.53,8.0,5.43,2.717001259,1.836192743,Eastern Europe,Europe & Central Asia,Europe,BGR,BG
Croatia,2000,23.96971001,3.1651380089999996,2.476158245,0.126781758,6.598096099999999,3.1761380089999998,2.483158245,18.12242162,2.32957121,2.8621187999999997,0.65559838,-11.5855359,0.26,6.18,2.89,4.32,3.621307828,1.111113793,Southern Europe,Europe & Central Asia,Europe,HRV,HR
Czech Republic,2000,141.6226217,11.95348628,5.9021073510000015,0.39618009200000004,110.8574072,11.95348628,5.9021073510000015,128.3187403,3.858922715,6.6417321,2.803226492,-12.513440800000001,0.48,69.72,24.09,11.87,16.91977021,5.718970099999999,Eastern Europe,Europe & Central Asia,Europe,CZE,CZ
Denmark,2000,66.63280614,7.357010014,6.378197131,0.654966995,52.8483544,7.357010014,6.378197131,52.27502183,2.661654651,10.393505099999999,1.302624558,0.6057224,6.42,26.43,5.39,11.99,7.896079864,0.578941967,Northern Europe,Europe & Central Asia,Europe,DNK,DK
Estonia,2000,18.9324228,2.093026639,2.1580272959999998,0.006488865,14.168054099999999,2.096026639,2.159027296,15.36637999,0.179118865,2.5648157000000005,0.822108242,-0.5028259,0.39,11.35,0.91,1.65,0.6874338000000001,0.768946193,Northern Europe,Europe & Central Asia,Europe,EST,EE
Finland,2000,72.13348721,5.7064618629999995,10.86459702,0.305276324,30.69805,5.710461863,10.86559702,55.86646963,6.94224988,6.0804222,3.2443455,-24.554102,3.15,25.87,10.98,11.76,7.210792295,0.055677335999999994,Northern Europe,Europe & Central Asia,Europe,FIN,FI
France,2000,498.7293791999999,62.37906659,52.06852819,9.696088427000001,350.7498657,62.39906659,52.08352819,376.4918893,29.30450213,75.6770109,17.25597692,-23.8008303,24.21,69.43,63.22,132.44,107.3956313,4.006257954,Western Europe,Europe & Central Asia,Europe,FRA,FR
Germany,2000,969.0738711000001,75.35866304,50.79143567,10.4,782.002429,75.36066304,50.79143567,840.5182652999997,37.3,64.1993382,27.08072879,-50.5579017,26.31,364.24,102.69,173.43,180.1763466,19.97191871,Western Europe,Europe & Central Asia,Europe,DEU,DE
Greece,2000,117.2964531,10.24114993,7.079548902999999,4.290362293,95.0011082,10.27314993,7.101548902999999,90.66791123,13.03416977,8.6377545,4.9566176330000005,-0.6302838000000001,13.89,47.79,10.2,19.07,12.12211344,1.48579779,Southern Europe,Europe & Central Asia,Europe,GRC,GR
Hungary,2000,71.74026622,8.723314118,7.410940167000001,0.65988393,58.54329050000001,8.729314118,7.411940167000001,56.24504848,4.25387273,7.4196893,3.821655608,3.6041625,0.7,23.81,5.76,8.87,15.44029593,2.36475255,Eastern Europe,Europe & Central Asia,Europe,HUN,HU
Iceland,2000,3.122059586,0.44637865,0.280789571,0.161611365,2.2131432999999996,0.44637865,0.280789571,2.22782984,0.24035974899999998,0.4636005,0.19026959699999998,-0.0201367,0.61,0.01,0.76,0.63,0.824697297,0.003132543,Northern Europe,Europe & Central Asia,Europe,ISL,IS
Ireland,2000,66.91824477,14.01735536,10.13489593,0.631609474,39.8148458,14.02535536,10.13689593,41.52307509,2.767072474,21.2123581,1.4157391019999999,-2.3095382,2.21,15.68,5.29,10.33,10.13769926,0.08537583300000001,Northern Europe,Europe & Central Asia,Europe,IRL,IE
Italy,2000,525.6144871,48.63545638,30.73792492,6.533889783999999,405.4196697,48.66245638,30.75992492,433.693579,34.92885337,34.4119615,22.5800932,-34.238546299999996,13.76,152.84,73.34,116.33,84.43380288,6.7397761329999994,Southern Europe,Europe & Central Asia,Europe,ITA,IT
Latvia,2000,11.11116377,2.101961663,2.012595324,0.15660678,-2.8966754,2.104961663,2.013595324,7.350239012,0.159852311,2.7627908,0.838281644,-9.7326754,0.11,2.71,1.03,2.12,1.313499012,0.16674,Northern Europe,Europe & Central Asia,Europe,LVA,LV
Liechtenstein,2000,,0.013801843000000001,0.007134967,0.00234901,,0.013801843000000001,0.007134967,,0.002618671,0.0160799,0.0016475670000000002,-0.01034,,,,,0.002207355,0.000732327,Western Europe,Europe & Central Asia,Europe,LIE,LI
Lithuania,2000,19.44338886,3.863066139,4.928905155,0.145625568,12.6677258,3.8640661389999997,4.928905155,10.72116285,2.050502182,5.301067,1.3706567280000002,2.1629338,0.36,5.06,1.08,3.04,1.3069626490000001,0.22420020300000001,Northern Europe,Europe & Central Asia,Europe,LTU,LT
Luxembourg,2000,9.216958273,0.473803274,0.259044987,0.050382012000000004,7.700371799999999,0.473803274,0.259044987,8.211036071,0.42993015,0.4964688,0.079523251,-0.7333562,0.96,0.23,1.25,4.85,1.855896445,0.025139626,Western Europe,Europe & Central Asia,Europe,LUX,LU
Malta,2000,2.477159826,0.23314723,0.052271713,0.061740884,2.13,0.23314723,0.052271713,2.13956268,0.064747884,0.1032009,0.169648362,0.0,2.46,1.59,0.0,0.46,0.09956,2.6804599999999997e-06,Southern Europe,Middle East & North Africa,Europe,MLT,MT
Moldova,2000,10.92665908,3.3838161,0.8335231,0.05939988,5.4153598,3.3838161,0.8335231,7.14916456,0.18789182,1.8583221,1.7312806,-1.2345602,0.06,4.07,0.5,0.71,1.34261476,0.5265498000000001,Eastern Europe,Europe & Central Asia,Europe,MDA,MD
Montenegro,2000,,0.452347238,0.20719683,1.6472896369999999,,0.461004896,0.212339687,,1.6472896369999999,0.455491046,0.190229945,-1.199514404,,,,,0.013823077,,Southern Europe,Europe & Central Asia,Europe,MNE,ME
Netherlands,2000,204.6763192,20.72903976,14.9642372,5.5557995689999995,165.79772340000005,20.72903976,14.9642372,164.17770869999995,13.56883419,18.3678135,8.561962757,2.3704807,51.19,66.87,24.41,32.09,39.77857276,1.029135987,Western Europe,Europe & Central Asia,Europe,NLD,NL
Norway,2000,47.14522268,4.716300981,5.820057205,2.5025764980000003,19.8582544,4.7183009810000005,5.821057205,34.57127116,6.150682591,5.006939,1.416329935,-14.245033600000001,3.65,9.93,6.57,12.05,3.9383752060000004,2.072895952,Northern Europe,Europe & Central Asia,Europe,NOR,NO
Poland,2000,362.2651918,39.18978604,24.84448255,1.074379229,283.4477937,39.19878604,24.84548255,308.6165223000001,13.11246788,31.10075530000001,9.43544633,-13.6987503,1.73,172.31,45.43,26.96,49.38306389,14.52345842,Eastern Europe,Europe & Central Asia,Europe,POL,PL
Portugal,2000,78.69493908,11.15700933,4.204547908,0.33799999999999997,64.5331891,11.20100933,4.238547908,59.09732183,5.99,6.9981791,6.605773717000001,1.6159411,4.04,24.05,10.87,17.61,6.359534892999999,0.20778693199999998,Southern Europe,Europe & Central Asia,Europe,PRT,PT
Romania,2000,129.2019435,27.43237231,11.02207865,1.4883565159999999,90.7418067,27.50237231,11.04007865,100.9930516,7.960625009,15.1164531,5.131813759,1.5706707,0.38,49.49,18.74,9.45,9.830779397,13.49227222,Eastern Europe,Europe & Central Asia,Europe,ROU,RO
Russia,2000,2037.383421,452.6163591,58.75739581,35.64608206,1692.201548,469.2443591,64.86239581,1820.0348579999998,55.53662666,106.2660939,55.54584199,224.5709639,13.4,930.32,165.46,189.13,196.6510249,338.4738333,Eastern Europe,Europe & Central Asia,Europe,RUS,RU
Slovakia,2000,45.79335594,4.61119661,2.646650152,0.138613176,28.503873699999996,4.61119661,2.646650152,38.61206531,2.7355682569999997,2.7457283,1.6999940690000002,-9.893022300000002,0.08,14.41,9.82,4.06,8.995567913,1.3264973979999999,Eastern Europe,Europe & Central Asia,Europe,SVK,SK
Slovenia,2000,17.916676000000006,2.0295368000000003,0.941854955,0.236756242,7.8771419000000025,2.0295368000000003,0.941854955,14.68793057,0.934259875,1.613832,0.680653553,-6.831386099999999,0.07,5.67,2.37,3.53,2.822594482,0.29533608699999997,Southern Europe,Europe & Central Asia,Europe,SVN,SI
Spain,2000,367.693443,35.29500242,25.52142672,9.334517833,250.8662636,35.41400242,25.60242672,284.7963895,31.79732373,38.92669179999999,12.17303797,-46.476232399999994,27.27,110.82,47.18,90.33,34.49419919,1.972190286,Southern Europe,Europe & Central Asia,Europe,ESP,ES
Sweden,2000,66.84176327,6.52589546,6.078786909,0.9443769000000001,33.3814081,6.52689546,6.078786909,53.74117387,3.038761744,7.3198940000000015,2.741933649,-19.910295899999998,6.41,9.73,13.63,21.21,9.089774507000001,0.09139936800000001,Northern Europe,Europe & Central Asia,Europe,SWE,SE
Switzerland,2000,51.33521801,4.436961834,2.581216463,0.497407715,41.900667799999994,4.436961834,2.581216463,42.72414361,2.504799065,5.4197153,0.686560037,-1.9189642,4.64,3.25,5.71,16.55,16.97445661,0.239687001,Western Europe,Europe & Central Asia,Europe,CHE,CH
Ukraine,2000,402.6962659,84.33010856,20.21477626,0.505973107,250.76371699999999,84.43410856,20.23577626,350.4034823,6.4501599060000006,37.1579718,8.684651963,-46.756691,0.78,140.16,80.73,26.91,48.96694575,53.63653651,Eastern Europe,Europe & Central Asia,Europe,UKR,UA
United Kingdom,2000,648.3753651000002,73.6816194,36.43727358,7.551050793,518.5295348999998,73.6926194,36.43927358,546.6168385,19.53460292,51.113040500000004,31.11088318,-12.1628864,37.74,225.57,63.02,122.92,116.8084979,18.28834058,Northern Europe,Europe & Central Asia,Europe,GBR,GB
