year,CO2_emissions
1990,43.0524596
1991,44.75772360000001
1992,48.9819956
1993,47.931003600000004
1994,49.5205396
1995,52.8138196
1996,51.0972881
1997,53.583676000000004
1998,58.329947499999996
1999,64.97017650000001
2000,64.5331891
2001,68.515774
2002,72.2572565
2003,67.0077603
2004,68.2310566
2005,71.3255152
2006,60.5858764
2007,60.9095675
2008,56.11608680000001
2009,55.700564
2010,49.837243900000004
2011,51.3188338
2012,49.4555224
2013,47.97803
2014,47.30348920000001
