year,CO2_emissions
1990,169.9739298
1991,176.25634580000005
1992,187.5371938
1993,172.8155653
1994,182.7035985
1995,194.6092366
1996,183.7527271
1997,202.86750619999998
1998,212.1951921
1999,234.913035
2000,250.8662636
2001,253.1456131
2002,271.524007
2003,278.0780648
2004,295.1727504
2005,311.9970713
2006,318.76423660000006
2007,331.88271119999996
2008,297.4941553000001
2009,257.5466088
2010,241.9108994
2011,242.7257267
2012,235.21239100000003
2013,208.7794127
2014,206.0864274
