,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,6.1648788,4.2315987999999995,2.3600787999999997,2.2000787999999996,2.2571534669999997,2.0700788,2.0833481,1.6020478999999999,1.9212662,3.0920522999999998,3.2892752,4.1098226,4.6389639,5.0003247,5.1847559,4.9548510000000014,3.8406219,4.0254329,3.958792,4.1126961,4.3674919,4.6883075,4.2212054000000006,4.4291341,4.8578333
Andorra,0.3872484000000001,0.3872484000000001,0.3872484000000001,0.3909124000000001,0.3872484000000001,0.4055684,0.4348804,0.4458724,0.4715204000000001,0.4935044,0.5044964,0.4950317,0.5023597,0.5060237,0.5316717,0.5463276999999999,0.506996,0.4996680000000001,0.4996680000000001,0.477684,0.477684,0.4692255,0.46556149999999996,0.45456949999999996,0.4399135
Austria,46.8618902,51.09051420000001,46.2378422,46.403874200000004,46.76891420000001,49.64793820000001,53.3826066,52.5715941,53.19160030000001,51.533278700000004,51.8949528,61.04248829999999,62.4110949,67.7032883,69.0382183,69.7298629,70.1397563,67.91615329999999,68.1169558,61.83716429999999,66.6329849,64.093974,61.2285669,61.5219269,58.0792549
Belarus,91.57746689,87.84494641,77.90162959999998,66.2201096,54.6749256,47.480349600000004,48.4439395,48.9825601,47.1819335,45.1221681,42.965500299999995,33.4987587,36.746933899999995,34.405765,37.5218471,38.31459210000001,32.49146,30.9207684,33.8587237,31.4512571,35.5673641,58.5893765,59.5864997,60.058135300000004,59.76900129999999
Belgium,105.9502187,110.7484587,109.4118027,107.1709707,112.3903467,111.9750827,116.97572050000001,113.94079070000001,115.96683870000001,112.43607069999999,114.32605600000001,114.99504280000001,107.7471068,112.36459479999999,111.1752263,107.8348828,105.59766680000001,101.8964988,104.4912028,96.9021308,105.7734268,94.46709969999999,92.4803602,93.8197522,87.7724242
Bulgaria,65.7072632,46.5821112,43.9611992,44.2989112,41.831279200000004,42.5618872,43.0263133,40.9015248,38.6747395,32.8495458,32.089977000000005,32.453087,29.8186402,34.062481700000006,33.572815999999996,34.5738786,39.8254674,43.316857,40.9500645,33.7999114,35.46679779999999,40.2362692,35.34377420000001,30.3430195,33.1344243
Croatia,10.10719626,4.327998387,3.4049204,4.0446164,3.3978163999999995,4.0156084000000005,3.9544368999999997,5.7072712,7.1498338000000015,7.117374400000001,6.598096099999999,7.7424907,8.9084427,10.378988,9.8746187,10.0197387,12.177059199999999,13.4327301,12.2721536,10.9299413,9.8937653,15.3385195,13.6413677,13.218821300000002,12.4661643
Czech Republic,141.0276754,127.12179760000001,122.21016940000001,119.03615829999998,112.6973774,113.1443997,114.69482430000001,112.71037450000001,106.7099807,99.6656062,110.8574072,110.6832895,106.54854350000001,110.84781370000002,111.5327695,108.1658068,114.2777125,116.89436840000002,111.50220149999998,104.1430311,106.3490511,99.8838424,94.8846655,90.2747455,85.8932017
Denmark,52.62270817,63.23740683,57.4414255,59.81094017,63.80788417,60.6001215,73.93053247,64.31548889999999,60.20917567,57.15636110000001,52.8483544,55.11848867,55.20410733,60.622174,55.11582127,51.58336867,59.18934707,54.3390567,51.12010223,48.820072700000004,49.18378737,42.600654,37.39699,39.25635267,35.11363
Estonia,35.93959998,32.26577489,23.507479999999997,17.916184,17.328552,15.66588,16.617507699999994,16.208571300000006,15.5772889,14.575348499999999,14.168054099999999,21.9898985,21.67315450000001,23.6326857,23.746972699999997,24.0011145,17.1961398,21.0035299,19.403557100000004,16.114927800000004,20.031590899999998,22.3172158,21.0655358,23.4732858,22.13371960000001
