country_name,year,GHG_emissions,CH4_emissions,N2O_emissions,F_Gas_emissions,CO2_emissions,CH4_emissions.1,N2O_emissions.1,energy_emissions,industry_emissions,agriculture_emissions,waste_emissions,land_use_foresty_emissions,bunker_fuels_emissions,electricity_heat_emissions,construction_emissions,transports_emissions,other_fuels_emissions,other_emissions,subregion,region-wb,continent,iso-a3,iso-a2
Albania,2001,7.349355882999999,2.880285678,1.241072705,0.0079975,4.1098226,2.8812856780000002,1.241072705,3.447236829,0.019157499999999997,3.288356,0.594605654,0.8908226,0.13,0.35,0.54,1.54,1.011185926,0.016050903000000002,Southern Europe,Europe & Central Asia,Europe,ALB,AL
Andorra,2001,0.56043877,0.035386258999999996,0.001100511,0.0,0.4950317,0.035386258999999996,0.001100511,0.5239520000000001,0.0,0.0,0.03648677,-0.028920299999999996,,,,,,,Southern Europe,Europe & Central Asia,Europe,AND,AD
Austria,2001,81.50099777,7.285544227000001,4.9038049589999995,1.177360582,61.04248829999999,7.285544227000001,4.9038049589999995,67.51743358,4.12338834,7.3971389000000025,2.463036846,-7.0917997,1.69,21.43,10.71,20.04,15.10976922,0.21766436,Western Europe,Europe & Central Asia,Europe,AUT,AT
Belarus,2001,76.83119916,13.61254264,11.35192272,0.0690538,33.4987587,13.61454264,11.35192272,52.85085046,1.07806864,18.9172577,3.98502226,-18.2969213,0.0,34.33,3.27,6.13,7.643358579,1.487491876,Eastern Europe,Europe & Central Asia,Europe,BLR,BY
Belgium,2001,136.5887555,8.757813866000001,8.521827945,1.0840416720000001,114.99504280000001,8.757813866000001,8.521827945,116.366919,9.221317305,9.0009526,1.9995665790000001,-3.2300292,20.14,29.28,30.33,25.24,31.04480043,0.46211857100000003,Western Europe,Europe & Central Asia,Europe,BEL,BE
Bulgaria,2001,59.99484343,9.846749204,3.866210085,0.211308138,32.453087,9.881749204,3.874210085,47.35969539,1.952969779,4.9100605,5.772117855,-13.574489000000002,0.61,29.48,7.89,5.6,2.557734924,1.83196047,Eastern Europe,Europe & Central Asia,Europe,BGR,BG
Croatia,2001,25.17784937,3.242179275,2.409145229,0.160700871,7.7424907,3.243179275,2.4101452290000003,19.14604831,2.545229093,2.8124747,0.6740972740000001,-11.621333300000002,0.29,6.7,3.07,4.38,3.84105406,1.154994247,Southern Europe,Europe & Central Asia,Europe,HRV,HR
Czech Republic,2001,141.6084414,11.90420233,6.298675802999999,0.44585132,110.6832895,11.90420233,6.298675802999999,128.1790628,3.6207642260000004,6.9696243,2.838990136,-12.2764225,0.49,70.19,22.4,12.74,17.19692632,5.6421364710000015,Eastern Europe,Europe & Central Asia,Europe,CZE,CZ
Denmark,2001,67.72265084,7.491840707000001,6.101223517,0.716287945,55.11848867,7.491840707000001,6.101223517,53.42600653,2.543261656,10.4646913,1.288691353,1.7051900000000002,5.77,27.67,5.58,12.03,8.000114161,0.145892366,Northern Europe,Europe & Central Asia,Europe,DNK,DK
Estonia,2001,19.36696682,2.075597091,2.1114324730000003,0.008417253000000001,21.9898985,2.075597091,2.1114324730000003,15.83772756,0.21736965800000002,2.4987806,0.813088995,6.8183785000000015,0.37,11.15,1.09,1.96,0.8630164779999999,0.7747110859999999,Northern Europe,Europe & Central Asia,Europe,EST,EE
Finland,2001,77.42568371,5.49016799,10.43640175,0.32959396399999996,45.3254602,5.49016799,10.43640175,61.82721208,6.557521939,5.9690857,3.071863985,-15.8440598,2.88,31.1,10.91,11.9,7.85970641,0.057505670999999994,Northern Europe,Europe & Central Asia,Europe,FIN,FI
France,2001,501.8357275,62.32882479,51.58965386,9.951776853,299.8642754,62.34482479,51.60065386,379.4425608,28.68809216,76.0599937,17.64508081,-78.0741966,22.68,62.84,66.34,134.22,112.54028090000001,3.512279972,Western Europe,Europe & Central Asia,Europe,FRA,FR
Germany,2001,984.3530120999999,72.46403389,50.65231866,11.14580091,831.7905917,72.46403389,50.65231866,858.8902178,36.51547902,63.7622694,25.18504584,-18.300267,25.57,377.45,96.39,169.5,196.3951118,19.15510598,Western Europe,Europe & Central Asia,Europe,DEU,DE
Greece,2001,118.3838007,10.02988899,6.8711899679999995,3.999761784,96.78389969999999,10.03188899,6.8711899679999995,92.81721315,12.376594800000001,8.415017,4.7749757960000005,-0.6970603,13.4,48.24,10.33,19.76,12.96666324,1.510549905,Southern Europe,Europe & Central Asia,Europe,GRC,GR
Hungary,2001,73.83545252,8.583481439,7.825597247999999,0.752997797,61.98256603,8.595481439,7.827597247999999,57.90650624,4.434567714,7.6552194,3.8391591660000004,5.32319,0.66,24.0,6.0,9.34,16.24196587,2.334540365,Eastern Europe,Europe & Central Asia,Europe,HUN,HU
Iceland,2001,3.007956871,0.443396106,0.255985283,0.146287483,2.1109547,0.443396106,0.255985283,2.169599331,0.213801097,0.4338654000000001,0.19069104399999998,-0.051333300000000005,0.49,0.01,0.79,0.64,0.7468572379999999,0.0027420920000000002,Northern Europe,Europe & Central Asia,Europe,ISL,IS
Ireland,2001,69.24385419,13.9818516,9.943896424,0.639690165,42.8526129,13.9818516,9.943896424,43.65103488,3.026199565,21.1571496,1.409470141,-1.8258031000000003,2.6,17.01,5.23,10.79,10.54135359,0.079681294,Northern Europe,Europe & Central Asia,Europe,IRL,IE
Italy,2001,521.9915533,45.79369706,29.21125824,7.09336598,404.8728315,45.80969706,29.22425824,433.2486347,35.85438543,30.808310499999997,22.08022269,-34.9914005,13.38,149.18,70.86,118.46,88.13890369,6.609730972,Southern Europe,Europe & Central Asia,Europe,ITA,IT
Latvia,2001,11.62503696,2.093838667,2.08594782,0.195250476,6.157886799999999,2.093838667,2.08594782,7.76816227,0.19847854199999998,2.8146972000000003,0.8436989509999999,-1.0921132,0.7,2.61,1.0,2.51,1.47560547,0.1625568,Northern Europe,Europe & Central Asia,Europe,LVA,LV
Liechtenstein,2001,,0.014331671,0.0071968119999999995,0.002705268,,0.014331671,0.0071968119999999995,,0.002969148,0.0166568,0.001688731,0.0,,,,,0.002126233,0.0007928389999999999,Western Europe,Europe & Central Asia,Europe,LIE,LI
Lithuania,2001,19.87015939,3.564610578,4.983452708,0.188288099,13.7006111,3.5656105780000003,4.983452708,11.37796363,2.2322786580000002,4.892042900000001,1.367874197,2.5678031000000003,0.41,5.52,1.04,3.32,1.2594962840000001,0.22846734600000002,Northern Europe,Europe & Central Asia,Europe,LTU,LT
Luxembourg,2001,9.847486304,0.474115145,0.26522529899999997,0.05540986,9.0563798,0.474115145,0.26522529899999997,8.850899819,0.42355916899999996,0.4950853,0.077942016,0.0036438000000000004,1.04,0.41,1.4,5.09,1.9119184059999998,0.028981412999999998,Western Europe,Europe & Central Asia,Europe,LUX,LU
Malta,2001,2.85590117,0.234997946,0.053022492000000004,0.07788073200000001,2.49,0.234997946,0.053022492000000004,2.499562214,0.080738312,0.1026971,0.172903544,0.0,2.59,1.98,0.0,0.43,0.09956,2.2138099999999997e-06,Southern Europe,Middle East & North Africa,Europe,MLT,MT
Moldova,2001,11.26993375,3.24977522,1.004098196,0.077132337,6.0710345000000006,3.24977522,1.004098196,7.4844079039999984,0.19520834899999998,1.9252985,1.6650189999999998,-0.8678935,0.05,4.32,0.5,0.71,1.397936464,0.55647144,Eastern Europe,Europe & Central Asia,Europe,MDA,MD
Montenegro,2001,,0.43657539100000003,0.234344408,1.553412328,,0.43713395,0.234558693,,1.553412328,0.468364157,0.18868020800000002,-1.271617688,,,,,0.01387544,,Southern Europe,Europe & Central Asia,Europe,MNE,ME
Netherlands,2001,208.5109688,20.26318764,14.8209689,4.963132287,171.2370201,20.26318764,14.8209689,169.2425055,12.88655573,18.2365229,8.145384681,2.7733401,54.81,69.95,24.4,32.36,41.40410925,1.1283962570000001,Western Europe,Europe & Central Asia,Europe,NLD,NL
Norway,2001,47.53295124,4.65869618,5.805792992000001,2.331963398,13.51877777,4.65869618,5.805792992000001,35.30731095,5.871643228,4.9833595,1.370637562,-21.217720899999996,3.62,10.65,6.21,12.26,4.393651635,1.793659313,Northern Europe,Europe & Central Asia,Europe,NOR,NO
Poland,2001,359.0425306,38.48584199,24.6302859,1.277058735,270.2853615,38.48884199,24.6302859,307.5693763000001,11.83208869,30.2682,9.372865591,-24.360982500000002,1.64,174.01,40.18,26.79,52.17510651,14.40426983,Eastern Europe,Europe & Central Asia,Europe,POL,PL
Portugal,2001,78.55531996,11.29767084,4.083319134,0.37068198399999996,68.515774,11.30867084,4.092319133999999,58.98751902,5.946313299,6.8153727,6.806115039,5.732126,3.37,23.86,10.18,17.85,6.905775458,0.201743566,Southern Europe,Europe & Central Asia,Europe,PRT,PT
Romania,2001,133.79624950000002,26.89265216,11.44460724,1.274046123,94.38297759999999,26.93265216,11.45260724,106.010623,7.5001400160000005,15.1480522,5.13743431,0.24603360000000002,0.34,51.31,20.23,11.55,9.570264785,13.34035821,Eastern Europe,Europe & Central Asia,Europe,ROU,RO
Russia,2001,2048.050476000001,459.90527699999996,60.88075768,35.19357683,1529.003494,475.74427699999995,66.13475768,1827.5781190000002,56.75699414,106.27220630000001,57.44315601,58.0256302,13.78,929.27,157.76,195.6,199.362599,345.57552010000006,Eastern Europe,Europe & Central Asia,Europe,RUS,RU
Slovakia,2001,46.50216742,4.62999675,2.7800616760000003,0.168232118,29.72767897,4.62999675,2.7800616760000003,39.047258,2.86887343,2.7657056,1.820330485,-9.196197900000001,0.09,16.43,8.53,5.34,7.475887928,1.271370075,Eastern Europe,Europe & Central Asia,Europe,SVK,SK
Slovenia,2001,18.78853199,2.064668358,0.9586085529999999,0.269703078,5.144165900000001,2.065668358,0.9586085529999999,15.50107229,0.9344609340000001,1.6664185,0.6865802679999999,-10.3503861,0.08,6.16,2.1,3.69,3.257108647,0.29396364,Southern Europe,Europe & Central Asia,Europe,SVN,SI
Spain,2001,369.314803,35.97154742,25.09446516,8.340150458,253.1456131,35.99254742,25.10946516,285.9708859,31.89333935,38.9532619,12.49731596,-46.7270269,29.71,103.57,51.19,94.41,34.877256200000005,1.9336297169999999,Southern Europe,Europe & Central Asia,Europe,ESP,ES
Sweden,2001,65.81804278,6.373852151,5.94907325,1.026077381,1.352886,6.373852151,5.94907325,52.93200439,3.0795820480000002,7.1625204,2.643935944,-51.116153999999995,6.55,10.48,12.19,21.14,9.029092764,0.092911626,Northern Europe,Europe & Central Asia,Europe,SWE,SE
Switzerland,2001,52.97219626,4.454934334,2.622476835,0.557217096,43.785270399999995,4.454934334,2.622476835,44.12799366,2.6494127240000003,5.5233839000000025,0.671405977,-1.5522976000000002,4.51,3.4,6.04,16.24,18.20434921,0.233644453,Western Europe,Europe & Central Asia,Europe,CHE,CH
Ukraine,2001,404.5186026,82.32298206,20.71307264,0.631651944,278.063311,82.57998206,20.75107264,353.5724899,6.924927197000001,35.223359499999994,8.797825911,-22.492585000000002,0.75,135.52,88.09,28.46,47.72024605,53.77224389,Eastern Europe,Europe & Central Asia,Europe,UKR,UA
United Kingdom,2001,656.151841,68.36585511,35.11983513,7.882676096,532.5676894,68.36585511,35.11983513,559.9615185,18.92507438,48.43680629999999,28.82844181,-12.2157853,37.63,234.45,66.5,121.87,119.77128700000002,17.38023149,Northern Europe,Europe & Central Asia,Europe,GBR,GB
